"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Town of Digby","-","Brie","-","24.44%","Bionic",3412
"Town of Digby","-","Brie","-","23.51%","Granite",3412
"Town of Digby","-","Brie","-","20.81%","Steel",3412
"Town of Digby","-","Brie","-","10.11%","Dwarf",3412
"Town of Digby","-","Brie","-","6.42%","Zombie",3412
"Town of Digby","-","Brie","-","6.42%","Gold",3412
"Town of Digby","-","Brie","-","6.30%","Diamond",3412
"Town of Digby","-","Brie","-","1.47%","Bat",3412
"Town of Digby","-","Brie","-","0.53%","Mole",3412
"Town of Digby","-","Gouda","-","24.22%","Bionic",4604
"Town of Digby","-","Gouda","-","22.89%","Granite",4604
"Town of Digby","-","Gouda","-","20.85%","Steel",4604
"Town of Digby","-","Gouda","-","10.43%","Dwarf",4604
"Town of Digby","-","Gouda","-","7.15%","Gold",4604
"Town of Digby","-","Gouda","-","6.99%","Zombie",4604
"Town of Digby","-","Gouda","-","6.15%","Diamond",4604
"Town of Digby","-","Gouda","-","0.91%","Bat",4604
"Town of Digby","-","Gouda","-","0.41%","Mole",4604
"Town of Digby","-","SB+","-","23.11%","Bionic",12551
"Town of Digby","-","SB+","-","21.00%","Granite",12551
"Town of Digby","-","SB+","-","18.84%","Steel",12551
"Town of Digby","-","SB+","-","11.91%","Zombie",12551
"Town of Digby","-","SB+","-","10.23%","Dwarf",12551
"Town of Digby","-","SB+","-","5.80%","Diamond",12551
"Town of Digby","-","SB+","-","5.38%","Gold",12551
"Town of Digby","-","SB+","-","1.35%","Mole",12551
"Town of Digby","-","SB+","-","0.96%","Bat",12551
"Town of Digby","-","SB+","-","0.95%","Nibbler",12551
"Town of Digby","-","SB+","-","0.47%","Black Widow",12551
"Town of Digby","-","Limelight","-","15.70%","Industrious Digger",146459
"Town of Digby","-","Limelight","-","13.67%","Stone Cutter",146459
"Town of Digby","-","Limelight","-","11.70%","Demolitions",146459
"Town of Digby","-","Limelight","-","10.44%","Itty-Bitty Burroughs",146459
"Town of Digby","-","Limelight","-","9.89%","Miner",146459
"Town of Digby","-","Limelight","-","9.85%","Core Sample",146459
"Town of Digby","-","Limelight","-","9.73%","Rock Muncher",146459
"Town of Digby","-","Limelight","-","7.94%","Lambent Crystal",146459
"Town of Digby","-","Limelight","-","5.70%","Big Bad Burroughs",146459
"Town of Digby","-","Limelight","-","4.90%","Subterranean",146459
"Town of Digby","-","Limelight","-","0.47%","Nugget",146459
"Town of Digby","-","Limelight","Mining","14.67%","Industrious Digger",52084
"Town of Digby","-","Limelight","Mining","14.49%","Itty-Bitty Burroughs",52084
"Town of Digby","-","Limelight","Mining","12.76%","Stone Cutter",52084
"Town of Digby","-","Limelight","Mining","10.94%","Demolitions",52084
"Town of Digby","-","Limelight","Mining","9.17%","Rock Muncher",52084
"Town of Digby","-","Limelight","Mining","9.02%","Miner",52084
"Town of Digby","-","Limelight","Mining","8.95%","Core Sample",52084
"Town of Digby","-","Limelight","Mining","7.81%","Big Bad Burroughs",52084
"Town of Digby","-","Limelight","Mining","7.29%","Lambent Crystal",52084
"Town of Digby","-","Limelight","Mining","4.44%","Subterranean",52084
"Town of Digby","-","Limelight","Mining","0.45%","Nugget",52084
