"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Queso Geyser","Cork Collecting","Bland Queso","-","100.00%","Fuzzy Drake",13325
"Queso Geyser","Cork Collecting","Mild Queso","-","75.03%","Cork Defender",52334
"Queso Geyser","Cork Collecting","Mild Queso","-","24.97%","Fuzzy Drake",52334
"Queso Geyser","Cork Collecting","Medium Queso","-","72.35%","Burly Bruiser",40324
"Queso Geyser","Cork Collecting","Medium Queso","-","23.12%","Cork Defender",40324
"Queso Geyser","Cork Collecting","Medium Queso","-","3.73%","Fuzzy Drake",40324
"Queso Geyser","Cork Collecting","Medium Queso","-","0.80%","Corky the Collector",40324
"Queso Geyser","Cork Collecting","Hot Queso","-","75.43%","Horned Cork Hoarder",34931
"Queso Geyser","Cork Collecting","Hot Queso","-","15.92%","Burly Bruiser",34931
"Queso Geyser","Cork Collecting","Hot Queso","-","4.84%","Cork Defender",34931
"Queso Geyser","Cork Collecting","Hot Queso","-","2.82%","Corky the Collector",34931
"Queso Geyser","Cork Collecting","Hot Queso","-","0.99%","Fuzzy Drake",34931
"Queso Geyser","Cork Collecting","Flamin' Queso","-","75.11%","Rambunctious Rain Rumbler",69257
"Queso Geyser","Cork Collecting","Flamin' Queso","-","14.91%","Horned Cork Hoarder",69257
"Queso Geyser","Cork Collecting","Flamin' Queso","-","7.02%","Corky the Collector",69257
"Queso Geyser","Cork Collecting","Flamin' Queso","-","1.94%","Burly Bruiser",69257
"Queso Geyser","Cork Collecting","Flamin' Queso","-","1.02%","Cork Defender",69257
"Queso Geyser","Cork Collecting","Wildfire Queso","-","100.00%","Corkataur",11231
"Queso Geyser","Pressure Building","Mild Queso","-","100.00%","Steam Sailor",25406
"Queso Geyser","Pressure Building","Medium Queso","-","84.87%","Warming Wyvern",58641
"Queso Geyser","Pressure Building","Medium Queso","-","15.13%","Steam Sailor",58641
"Queso Geyser","Pressure Building","Hot Queso","-","84.97%","Vaporior",84519
"Queso Geyser","Pressure Building","Hot Queso","-","9.88%","Warming Wyvern",84519
"Queso Geyser","Pressure Building","Hot Queso","-","5.15%","Steam Sailor",84519
"Queso Geyser","Pressure Building","Flamin' Queso","-","90.10%","Pyrehyde",44873
"Queso Geyser","Pressure Building","Flamin' Queso","-","4.97%","Vaporior",44873
"Queso Geyser","Pressure Building","Flamin' Queso","-","2.94%","Warming Wyvern",44873
